id,prices.amountMax,prices.availability,prices.condition,prices.isSale,prices.merchant,brand,dateAdded,primaryCategories,weight,,,,,
AVpgNkVc1cnluZ0-yJB6,58.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,57.99,Yes,New,FALSE,Bestbuy.com,Outdoor Tech,2015-11-16T06:26:07Z,Electronics,6.7 ounces,,,,,
AVpgGPyq1cnluZ0-wbTJ,99.99,In Stock,New,FALSE,UnbeatableSale,Motorola,2015-05-11T12:38:42Z,Electronics,13.6 ounces,,,,,
AVpgGPyq1cnluZ0-wbTJ,99.99,Yes,New,FALSE,Bestbuy.com,Motorola,2015-05-11T12:38:42Z,Electronics,13.6 ounces,,,,,
AWACBprXKZqtpbFMVBZo,199.99,TRUE,new,FALSE,Bestbuy.com,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,149.99,In Stock,New,TRUE,bhphotovideo.com,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,159.99,In Stock,New,TRUE,bhphotovideo.com,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,199,In Stock,New,FALSE,Walmart.com,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,154.95,yes,New,FALSE,your-best-store,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,199.99,In Stock,New,FALSE,bhphotovideo.com,Samsung,2017-11-28T08:08:12Z,Electronics,0.017 pounds,,,,,
AVpfVI9wilAPnD_xZxH-,89.99,In Stock,New,FALSE,BuyVPC,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,99,yes,New,FALSE,tube_works,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,83.99,In Stock,New,TRUE,bhphotovideo.com,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,84.99,In Stock,New,FALSE,bhphotovideo.com,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,90.71,In Stock,New,FALSE,DigitalShopper,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,84.99,Yes,New,FALSE,Bestbuy.com,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
